blknight,case,contrib,coop,cost,dstres,gnpcst,gnprat,inst,length,natsec,imports,exports,policies,relate,result,success,tarcst,us,year,pre_73,trade,blk_m,blk_x,blk_trd,in_coop
0,861,3,2,2,2,0.00,189.00,1.00,4,0,6.00,0.00,0,0,2,6,4.00,1,1986,0,6,0.00,0.00,0.00,2.00
0,862,1,1,2,2,0.00,437.00,0.00,4,1,9.00,40.00,1,0,2,2,4.00,1,1986,0,49,0.00,0.00,0.00,0.00
1,871,1,1,3,2,6.00,854.00,0.00,3,1,34.00,66.00,1,1,4,4,319.00,1,1987,0,100,34.00,66.00,100.00,0.00
0,872,3,2,1,1,2.90,2383.00,0.00,3,0,64.00,84.00,0,0,2,6,56.00,1,1987,0,148,0.00,0.00,0.00,0.00
0,873,4,1,1,1,0.00,1006.00,0.00,1,0,39.00,44.00,0,1,4,16,0.00,1,1987,0,83,0.00,0.00,0.00,0.00
0,881,3,3,1,1,2.10,803.00,0.00,2,0,36.00,8.00,0,0,2,6,234.00,1,1988,0,44,0.00,0.00,0.00,0.00
0,882,2,2,1,1,2.00,1429.00,0.00,2,0,17.00,2.00,0,1,2,4,49.00,1,1988,0,19,0.00,0.00,0.00,0.00
0,891,3,1,2,2,4.60,94.00,0.00,1,1,19.00,36.00,0,1,3,9,132.00,0,1989,0,55,0.00,0.00,0.00,0.00
0,892,1,3,2,3,0.10,13.00,1.00,1,0,12.00,7.00,0,1,1,1,322.00,1,1989,0,19,0.00,0.00,0.00,3.00
0,893,1,2,1,1,0.10,408.00,0.00,1,0,11.00,3.00,0,1,1,1,91.00,1,1989,0,14,0.00,0.00,0.00,0.00
0,901,3,4,4,2,48.00,242.00,1.00,1,1,100.00,100.00,1,0,4,9,21.60,1,1990,0,200,0.00,0.00,0.00,4.00
